"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"pierna abdomen","3 Sep 2025, 20:13","3 Sep 2025, 20:43","","Leg Press Horizontal (Machine)",,"",0,"normal",115,8,,,
"pierna abdomen","3 Sep 2025, 20:13","3 Sep 2025, 20:43","","Leg Press Horizontal (Machine)",,"",1,"normal",115,8,,,
"pierna abdomen","3 Sep 2025, 20:13","3 Sep 2025, 20:43","","Leg Press Horizontal (Machine)",,"",2,"normal",115,8,,,
"pierna abdomen","3 Sep 2025, 20:13","3 Sep 2025, 20:43","","Crunch (Machine)",,"",0,"normal",53,12,,,
"pierna abdomen","3 Sep 2025, 20:13","3 Sep 2025, 20:43","","Crunch (Machine)",,"",1,"normal",53,12,,,
"pierna abdomen","3 Sep 2025, 20:13","3 Sep 2025, 20:43","","Crunch (Machine)",,"",2,"normal",53,12,,,
"pierna abdomen","3 Sep 2025, 20:13","3 Sep 2025, 20:43","","Hip Adduction (Machine)",,"",0,"normal",96,8,,,
"pierna abdomen","3 Sep 2025, 20:13","3 Sep 2025, 20:43","","Hip Adduction (Machine)",,"",1,"normal",96,8,,,
"pierna abdomen","3 Sep 2025, 20:13","3 Sep 2025, 20:43","","Hip Adduction (Machine)",,"",2,"dropset",96,8,,,
"pierna abdomen","3 Sep 2025, 20:13","3 Sep 2025, 20:43","","Hip Abduction (Machine)",,"",0,"normal",96,8,,,
"pierna abdomen","3 Sep 2025, 20:13","3 Sep 2025, 20:43","","Hip Abduction (Machine)",,"",1,"normal",96,8,,,
"pierna abdomen","3 Sep 2025, 20:13","3 Sep 2025, 20:43","","Hip Abduction (Machine)",,"",2,"normal",96,8,,,
"pierna abdomen","3 Sep 2025, 20:13","3 Sep 2025, 20:43","","Treadmill",,"",0,"normal",,,,600,
"pierna abdomen","31 Aug 2025, 13:31","31 Aug 2025, 14:19","","Leg Press Horizontal (Machine)",,"",0,"normal",105,8,,,
"pierna abdomen","31 Aug 2025, 13:31","31 Aug 2025, 14:19","","Leg Press Horizontal (Machine)",,"",1,"normal",105,8,,,
"pierna abdomen","31 Aug 2025, 13:31","31 Aug 2025, 14:19","","Leg Press Horizontal (Machine)",,"",2,"normal",105,8,,,
"pierna abdomen","31 Aug 2025, 13:31","31 Aug 2025, 14:19","","Crunch (Machine)",,"",0,"normal",46,12,,,
"pierna abdomen","31 Aug 2025, 13:31","31 Aug 2025, 14:19","","Crunch (Machine)",,"",1,"normal",53,12,,,
"pierna abdomen","31 Aug 2025, 13:31","31 Aug 2025, 14:19","","Hip Adduction (Machine)",,"",0,"normal",89,8,,,
"pierna abdomen","31 Aug 2025, 13:31","31 Aug 2025, 14:19","","Hip Adduction (Machine)",,"",1,"normal",96,8,,,
"pierna abdomen","31 Aug 2025, 13:31","31 Aug 2025, 14:19","","Hip Adduction (Machine)",,"",2,"dropset",89,8,,,
"pierna abdomen","31 Aug 2025, 13:31","31 Aug 2025, 14:19","","Hip Abduction (Machine)",,"",0,"normal",89,8,,,
"pierna abdomen","31 Aug 2025, 13:31","31 Aug 2025, 14:19","","Hip Abduction (Machine)",,"",1,"normal",89,8,,,
"pierna abdomen","31 Aug 2025, 13:31","31 Aug 2025, 14:19","","Hip Abduction (Machine)",,"",2,"failure",82,6,,,
"pierna abdomen","31 Aug 2025, 13:31","31 Aug 2025, 14:19","","Leg Extension (Machine)",,"",0,"normal",40,8,,,
"pierna abdomen","31 Aug 2025, 13:31","31 Aug 2025, 14:19","","Leg Extension (Machine)",,"",1,"normal",45,8,,,
"pierna abdomen","31 Aug 2025, 13:31","31 Aug 2025, 14:19","","Leg Extension (Machine)",,"",2,"failure",45,11,,,
"pierna abdomen","26 Aug 2025, 20:38","26 Aug 2025, 21:33","","Leg Press Horizontal (Machine)",,"",0,"normal",95,8,,,
"pierna abdomen","26 Aug 2025, 20:38","26 Aug 2025, 21:33","","Leg Press Horizontal (Machine)",,"",1,"normal",105,8,,,
"pierna abdomen","26 Aug 2025, 20:38","26 Aug 2025, 21:33","","Leg Press Horizontal (Machine)",,"",2,"normal",105,8,,,
"pierna abdomen","26 Aug 2025, 20:38","26 Aug 2025, 21:33","","Crunch (Machine)",,"",0,"normal",46,15,,,
"pierna abdomen","26 Aug 2025, 20:38","26 Aug 2025, 21:33","","Crunch (Machine)",,"",1,"normal",53,15,,,
